Technique,Family,FileList,FileCount
T1003,T1003,content/detection-rules/sigma/credential-access/dcsync_attack.yml;content/detection-rules/sigma/credential-access/lsass_access_suspicious.yml;content/detection-rules/sigma/credential-access/lsass_dump_comsvcs.yml;content/detection-rules/sigma/credential-access/ntds_dump.yml;content/detection-rules/sigma/credential-access/passwd_shadow_access.yml;content/detection-rules/sigma/credential-access/sam_registry_dump.yml;content/detection-rules/splunk/credential_access_detections.spl,7
T1003.001,T1003,content/detection-rules/sigma/credential-access/lsass_access_suspicious.yml;content/detection-rules/sigma/credential-access/lsass_dump_comsvcs.yml;content/detection-rules/splunk/credential_access_detections.spl;content/detection-rules/wazuh/rules/wazuh-075-credential-dumping-comsvcs.xml,4
T1003.002,T1003,content/detection-rules/sigma/credential-access/sam_registry_dump.yml;content/detection-rules/splunk/credential_access_detections.spl,2
T1003.003,T1003,content/detection-rules/sigma/credential-access/ntds_dump.yml;content/detection-rules/splunk/credential_access_detections.spl,2
T1003.006,T1003,content/detection-rules/sigma/credential-access/dcsync_attack.yml;content/detection-rules/splunk/credential_access_detections.spl,2
T1003.008,T1003,content/detection-rules/sigma/credential-access/passwd_shadow_access.yml,1
T1005,T1005,content/detection-rules/sigma/collection/sensitive_file_access.yml,1
T1014,T1014,content/detection-rules/sigma/defense-evasion/rootkit_behavior.yml;content/detection-rules/wazuh/rules/wazuh-053-rootkit-detection.xml,2
T1016,T1016,content/detection-rules/sigma/discovery/linux_network_discovery.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1018,T1018,content/detection-rules/sigma/discovery/network_reconnaissance.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1021,T1021,content/detection-rules/sigma/lateral-movement/dcom_lateral_movement.yml;content/detection-rules/sigma/lateral-movement/psexec_execution.yml;content/detection-rules/sigma/lateral-movement/remote_desktop_logon.yml;content/detection-rules/sigma/lateral-movement/remote_service_creation.yml;content/detection-rules/sigma/lateral-movement/ssh_lateral_movement.yml;content/detection-rules/sigma/lateral-movement/windows_admin_shares.yml;content/detection-rules/sigma/lateral-movement/winrm_lateral_movement.yml,7
T1021.001,T1021,content/detection-rules/sigma/lateral-movement/remote_desktop_logon.yml;content/detection-rules/splunk/lateral_movement_detections.spl,2
T1021.002,T1021,content/detection-rules/sigma/lateral-movement/psexec_execution.yml;content/detection-rules/sigma/lateral-movement/remote_service_creation.yml;content/detection-rules/sigma/lateral-movement/windows_admin_shares.yml;content/detection-rules/splunk/lateral_movement_detections.spl;content/detection-rules/wazuh/rules/wazuh-073-suspicious-network-share-access.xml,5
T1021.003,T1021,content/detection-rules/sigma/lateral-movement/dcom_lateral_movement.yml;content/detection-rules/splunk/lateral_movement_detections.spl,2
T1021.004,T1021,content/detection-rules/sigma/lateral-movement/ssh_lateral_movement.yml,1
T1021.006,T1021,content/detection-rules/sigma/lateral-movement/winrm_lateral_movement.yml;content/detection-rules/splunk/lateral_movement_detections.spl,2
T1027,T1027,content/detection-rules/splunk/execution_detections.spl,1
T1029,T1029,content/detection-rules/sigma/exfiltration/scheduled_transfer.yml,1
T1033,T1033,content/detection-rules/sigma/discovery/whoami_execution.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1036,T1036,content/detection-rules/sigma/defense-evasion/masquerading.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1041,T1041,content/detection-rules/sigma/exfiltration/exfil_over_c2.yml;content/detection-rules/wazuh/rules/wazuh-063-data-exfiltration-detection.xml,2
T1046,T1046,content/detection-rules/wazuh/rules/wazuh-061-port-scan-detection.xml,1
T1047,T1047,content/detection-rules/sigma/lateral-movement/wmi_lateral_movement.yml;content/detection-rules/splunk/lateral_movement_detections.spl;content/detection-rules/wazuh/rules/wazuh-071-suspicious-wmi-process-creation.xml,3
T1048,T1048,content/detection-rules/sigma/exfiltration/dns_tunneling.yml;content/detection-rules/sigma/exfiltration/email_exfiltration.yml;content/detection-rules/sigma/exfiltration/ftp_exfiltration.yml;content/detection-rules/sigma/exfiltration/linux_scp_exfil.yml;content/detection-rules/sigma/exfiltration/smb_exfiltration.yml,5
T1048.002,T1048,content/detection-rules/sigma/exfiltration/linux_scp_exfil.yml;content/detection-rules/sigma/exfiltration/smb_exfiltration.yml,2
T1048.003,T1048,content/detection-rules/sigma/exfiltration/dns_tunneling.yml;content/detection-rules/sigma/exfiltration/email_exfiltration.yml;content/detection-rules/sigma/exfiltration/ftp_exfiltration.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,4
T1052,T1052,content/detection-rules/sigma/exfiltration/removable_media_exfil.yml,1
T1052.001,T1052,content/detection-rules/sigma/exfiltration/removable_media_exfil.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1053,T1053,content/detection-rules/sigma/execution/at_command.yml;content/detection-rules/sigma/execution/scheduled_task_execution.yml;content/detection-rules/sigma/persistence/linux_cron_persistence.yml;content/detection-rules/sigma/persistence/scheduled_task_creation.yml,4
T1053.002,T1053,content/detection-rules/sigma/execution/at_command.yml,1
T1053.003,T1053,content/detection-rules/sigma/persistence/linux_cron_persistence.yml,1
T1053.005,T1053,content/detection-rules/sigma/execution/scheduled_task_execution.yml;content/detection-rules/sigma/persistence/scheduled_task_creation.yml;content/detection-rules/splunk/persistence_detections.spl;content/detection-rules/wazuh/rules/wazuh-068-suspicious-scheduled-task-xml.xml,4
T1055,T1055,content/detection-rules/sigma/defense-evasion/process_injection.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1056,T1056,content/detection-rules/sigma/collection/keylogging.yml;content/detection-rules/sigma/credential-access/powershell_credential_prompt.yml,2
T1056.001,T1056,content/detection-rules/sigma/collection/keylogging.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1056.002,T1056,content/detection-rules/sigma/credential-access/powershell_credential_prompt.yml,1
T1057,T1057,content/detection-rules/sigma/discovery/process_enumeration.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1059,T1059,content/detection-rules/sigma/execution/cmd_suspicious_commands.yml;content/detection-rules/sigma/execution/linux_bash_suspicious.yml;content/detection-rules/sigma/execution/powershell_suspicious_commands.yml;content/detection-rules/sigma/execution/wscript_cscript_suspicious.yml;content/detection-rules/wazuh/rules/wazuh-056-process-anomaly-detection.xml,5
T1059.001,T1059,content/detection-rules/sigma/execution/powershell_suspicious_commands.yml;content/detection-rules/splunk/execution_detections.spl;content/detection-rules/wazuh/rules/wazuh-058-suspicious-powershell-download.xml,3
T1059.003,T1059,content/detection-rules/sigma/execution/cmd_suspicious_commands.yml;content/detection-rules/splunk/windows_security_eventlog_detections.spl,2
T1059.004,T1059,content/detection-rules/sigma/execution/linux_bash_suspicious.yml;content/detection-rules/splunk/execution_detections.spl,2
T1059.005,T1059,content/detection-rules/sigma/execution/wscript_cscript_suspicious.yml;content/detection-rules/splunk/execution_detections.spl,2
T1068,T1068,content/detection-rules/sigma/privilege-escalation/printspooler_privilege_escalation.yml,1
