original_source_root,original_path,new_path,action_taken,notes
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,run-pipeline.py,scripts/auto-soc/run-pipeline.py,copied,Main orchestrator from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,common.py,scripts/auto-soc/common.py,copied,Path constants module from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,poll-alerts.py,scripts/auto-soc/poll-alerts.py,copied,Wazuh alert poller from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,triage.py,scripts/auto-soc/triage.py,copied,Core triage engine from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,triage-quality.py,scripts/auto-soc/triage-quality.py,copied,Triage quality scoring from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,reconcile-state.py,scripts/auto-soc/reconcile-state.py,copied,Ledger reconciliation from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,coverage-check.py,scripts/auto-soc/coverage-check.py,copied,Host coverage validation from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,policy-audit.py,scripts/auto-soc/policy-audit.py,copied,Policy tuning audit from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,policy-audit-delta.py,scripts/auto-soc/policy-audit-delta.py,copied,Policy change deltas from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,escalation-quality.py,scripts/auto-soc/escalation-quality.py,copied,Escalation quality metrics from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,export-publish-bundle.py,scripts/auto-soc/export-publish-bundle.py,copied,Bundle export from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,promote-publish-bundle.py,scripts/auto-soc/promote-publish-bundle.py,copied,Bundle promotion from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,create-pr.py,scripts/auto-soc/create-pr.py,copied,GitHub PR creator from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,heartbeat-trend.py,scripts/auto-soc/heartbeat-trend.py,copied,Heartbeat aggregation from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,incident-taxonomy.py,scripts/auto-soc/incident-taxonomy.py,copied,Taxonomy generation from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,reclassify-pending-review-backlog.py,scripts/auto-soc/reclassify-pending-review-backlog.py,copied,Case reclassification from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,redact.py,scripts/auto-soc/redact.py,copied,Redaction utility from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,retention-policy.py,scripts/auto-soc/retention-policy.py,copied,Data retention rules from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,assemble-pack.py,scripts/auto-soc/assemble-pack.py,copied,Pack assembly from Source B (identical to Source A)
Z:\Intake\from_OPS\system\Automation\AutoSOC,build_march_truth_index.ps1,scripts/auto-soc/build_march_truth_index.ps1,copied,CANONICAL from Source A (newer: 5523B vs 5088B)
Z:\Intake\from_OPS\system\Automation\AutoSOC,build_runs_index.ps1,scripts/auto-soc/build_runs_index.ps1,copied,CANONICAL from Source A (newer: 7377B vs 6938B)
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,build_run_manifest.ps1,scripts/auto-soc/build_run_manifest.ps1,copied,From Source B (identical to Source A)
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,daily-ops.ps1,scripts/auto-soc/daily-ops.ps1,copied,Daily operations coordinator from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,run-autosoc-contract.ps1,scripts/auto-soc/run-autosoc-contract.ps1,copied,Contract verification runner from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,run-autosoc-contract-task.ps1,scripts/auto-soc/run-autosoc-contract-task.ps1,copied,Task scheduler wrapper from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,run-autosoc-live-task.ps1,scripts/auto-soc/run-autosoc-live-task.ps1,copied,Live task wrapper from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,run-autosoc-live-task.cmd,scripts/auto-soc/run-autosoc-live-task.cmd,copied,CMD wrapper from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,install-autosoc-contract-task.ps1,scripts/auto-soc/install-autosoc-contract-task.ps1,copied,Scheduled task installer from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,install-autosoc-live-task.ps1,scripts/auto-soc/install-autosoc-live-task.ps1,copied,Live mode task installer from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,refresh-march-soc-progress.ps1,scripts/auto-soc/refresh-march-soc-progress.ps1,copied,March progress refresh from Source B
